,frequency,probability,IC
GO:0035869,3,3.0143347165943134e-12,26.52764196794392
GO:0001725,13,1.3062117105242025e-11,25.061304899150496
GO:0005925,27,2.7129012449348823e-11,24.330417390607703
GO:0004535,3,3.0143347165943134e-12,26.52764196794392
GO:0005737,4041,4.060308863252541e-09,19.322006791533557
GO:0000781,44,4.421024251004993e-11,23.842064622693773
GO:0003690,8586,8.627025958892925e-09,18.568366007827528
GO:0062023,164,1.6478363117382247e-10,22.526387828787833
GO:0005886,607,6.099003909909161e-10,21.217725465552533
GO:0000922,15,1.507167358297157e-11,24.918204055509822
GO:0005874,158,1.5875496174063385e-10,22.563659223585066
GO:0005876,12,1.2057338866377254e-11,25.14134760682403
GO:0003954,8,8.038225910918169e-12,25.546812714932198
GO:0008137,11,1.1052560627512483e-11,25.228358983813663
GO:0001046,5,5.023891194323856e-12,26.016816344177933
GO:0016251,29,2.9138568927078365e-11,24.258958426625558
GO:0000977,64,6.430580728734535e-11,23.46737117325236
GO:0001228,8,8.038225910918169e-12,25.546812714932198
GO:0003743,63,6.330102904848059e-11,23.4831195302205
GO:0005245,21,2.1100343016160196e-11,24.58173181888861
GO:0008331,5,5.023891194323856e-12,26.016816344177933
GO:0034604,5,5.023891194323856e-12,26.016816344177933
GO:0015630,1767,1.7754431480740508e-09,20.149215784292338
GO:0097431,4,4.0191129554590846e-12,26.23995989549214
GO:1990023,1,1.0047782388647711e-12,27.626254256612032
GO:0072686,11,1.1052560627512483e-11,25.228358983813663
GO:0099073,2,2.0095564777295423e-12,26.93310707605209
GO:0005856,23156,2.3266644899152643e-08,17.57624505141314
GO:0030864,16,1.6076451821836338e-11,24.85366553437225
GO:0005794,46,4.6219798987779476e-11,23.797612860122936
GO:0004842,51,5.1243690182103333e-11,23.694428623887706
GO:0098592,2,2.0095564777295423e-12,26.93310707605209
GO:0030136,5,5.023891194323856e-12,26.016816344177933
GO:0015185,1,1.0047782388647711e-12,27.626254256612032
GO:0016605,18,1.808600829956588e-11,24.735882498715867
GO:0005096,13,1.3062117105242025e-11,25.061304899150496
GO:0005634,1069,1.0741079373464404e-09,20.651775345586987
GO:0005829,5,5.023891194323856e-12,26.016816344177933
GO:0045202,78,7.837270263145215e-11,23.26954542992244
GO:0005604,1,1.0047782388647711e-12,27.626254256612032
GO:0005813,30,3.014334716594314e-11,24.22505687494988
GO:0005912,3,3.0143347165943134e-12,26.52764196794392
GO:0051015,16,1.6076451821836338e-11,24.85366553437225
GO:0004758,8,8.038225910918169e-12,25.546812714932198
GO:0000400,12,1.2057338866377254e-11,25.14134760682403
GO:0005881,13,1.3062117105242025e-11,25.061304899150496
GO:0005730,4,4.0191129554590846e-12,26.23995989549214
GO:0005635,14,1.4066895344106796e-11,24.987196926996774
GO:0050421,3,3.0143347165943134e-12,26.52764196794392
GO:0003923,1,1.0047782388647711e-12,27.626254256612032
GO:0034235,3,3.0143347165943134e-12,26.52764196794392
GO:0032977,22,2.2105121255024965e-11,24.535211803253716
GO:0008821,7,7.033447672053398e-12,25.68034410755672
GO:0005085,36,3.617201659913176e-11,24.042735318155923
GO:0060090,27,2.7129012449348823e-11,24.330417390607703
GO:0005739,34,3.416246012140222e-11,24.09989373199587
GO:0005759,6,6.028669433188627e-12,25.834494787383978
GO:0015629,108,1.0851604979739529e-10,22.944123029487812
GO:1990050,4,4.0191129554590846e-12,26.23995989549214
GO:0030663,3,3.0143347165943134e-12,26.52764196794392
GO:0004679,1,1.0047782388647711e-12,27.626254256612032
GO:0032588,1,1.0047782388647711e-12,27.626254256612032
GO:0003723,25,2.511945597161928e-11,24.407378431743833
GO:0034511,1,1.0047782388647711e-12,27.626254256612032
GO:0043596,2,2.0095564777295423e-12,26.93310707605209
GO:0042393,5,5.023891194323856e-12,26.016816344177933
GO:0005262,69,6.932969848166921e-11,23.392147752014772
GO:0004972,5,5.023891194323856e-12,26.016816344177933
GO:0005811,6,6.028669433188627e-12,25.834494787383978
GO:0000776,24,2.4114677732754508e-11,24.448200426264087
GO:0005261,2596,2.608404308092946e-09,19.76452717878805
GO:0005267,230,2.3109899493889736e-10,22.188174947688836
GO:0015272,2,2.0095564777295423e-12,26.93310707605209
GO:0022857,73875953,7.422894994979661e-05,9.508356322835498
GO:0003720,23,2.3109899493889738e-11,24.490760040682883
GO:0005764,21,2.1100343016160196e-11,24.58173181888861
GO:0003684,10,1.0047782388647711e-11,25.323669163617986
GO:0005901,11,1.1052560627512483e-11,25.228358983813663
GO:0030315,1,1.0047782388647711e-12,27.626254256612032
GO:0031965,2,2.0095564777295423e-12,26.93310707605209
GO:0005884,21,2.1100343016160196e-11,24.58173181888861
GO:0001917,3,3.0143347165943134e-12,26.52764196794392
GO:0032391,2,2.0095564777295423e-12,26.93310707605209
GO:0043025,4,4.0191129554590846e-12,26.23995989549214
GO:0043195,1,1.0047782388647711e-12,27.626254256612032
GO:0001227,3,3.0143347165943134e-12,26.52764196794392
GO:0005125,5,5.023891194323856e-12,26.016816344177933
GO:0005127,2,2.0095564777295423e-12,26.93310707605209
GO:0004402,107,1.0751127155853051e-10,22.953425422150126
GO:0005769,8,8.038225910918169e-12,25.546812714932198
GO:0003677,61757,6.205208969757168e-08,16.59529164822272
GO:0003700,79,7.937748087031693e-11,23.25680640414501
GO:0004526,13,1.3062117105242025e-11,25.061304899150496
GO:0000171,1,1.0047782388647711e-12,27.626254256612032
GO:0050567,2,2.0095564777295423e-12,26.93310707605209
GO:0004965,2,2.0095564777295423e-12,26.93310707605209
GO:0003689,13,1.3062117105242025e-11,25.061304899150496
GO:0046933,27,2.7129012449348823e-11,24.330417390607703
GO:0004176,1,1.0047782388647711e-12,27.626254256612032
GO:0032587,10,1.0047782388647711e-11,25.323669163617986
GO:0005254,30,3.014334716594314e-11,24.22505687494988
GO:0043022,8,8.038225910918169e-12,25.546812714932198
GO:0005819,114,1.1454471923058391e-10,22.890055808217536
GO:0031492,16,1.6076451821836338e-11,24.85366553437225
GO:0097427,2,2.0095564777295423e-12,26.93310707605209
GO:0008320,6,6.028669433188627e-12,25.834494787383978
GO:0005905,3,3.0143347165943134e-12,26.52764196794392
GO:0035615,5,5.023891194323856e-12,26.016816344177933
GO:0035861,3,3.0143347165943134e-12,26.52764196794392
GO:0016607,1,1.0047782388647711e-12,27.626254256612032
GO:0036408,6,6.028669433188627e-12,25.834494787383978
GO:0043995,7,7.033447672053398e-12,25.68034410755672
GO:0043996,7,7.033447672053398e-12,25.68034410755672
GO:0043997,6,6.028669433188627e-12,25.834494787383978
GO:0005789,9,9.04300414978294e-12,25.429029679275814
GO:1901588,1,1.0047782388647711e-12,27.626254256612032
GO:0009897,12,1.2057338866377254e-11,25.14134760682403
GO:0005938,53,5.325324665983287e-11,23.65596234305991
GO:0016324,4,4.0191129554590846e-12,26.23995989549214
GO:0019209,3,3.0143347165943134e-12,26.52764196794392
GO:0000976,424,4.26025973278663e-10,21.576520801380074
GO:0030366,4,4.0191129554590846e-12,26.23995989549214
GO:0004129,5,5.023891194323856e-12,26.016816344177933
GO:0005768,26,2.612423421048405e-11,24.36815771859055
GO:0005006,1,1.0047782388647711e-12,27.626254256612032
GO:0005902,2,2.0095564777295423e-12,26.93310707605209
GO:0004911,3,3.0143347165943134e-12,26.52764196794392
GO:0003697,12,1.2057338866377254e-11,25.14134760682403
GO:0031210,2,2.0095564777295423e-12,26.93310707605209
GO:0034987,6,6.028669433188627e-12,25.834494787383978
GO:0042834,2,2.0095564777295423e-12,26.93310707605209
GO:0003779,19,1.9090786538430653e-11,24.68181527744559
GO:0120020,5,5.023891194323856e-12,26.016816344177933
GO:0005102,58,5.827713785415673e-11,23.565811246065614
GO:0050839,2,2.0095564777295423e-12,26.93310707605209
GO:0015464,6,6.028669433188627e-12,25.834494787383978
GO:0022848,5,5.023891194323856e-12,26.016816344177933
GO:0042166,1,1.0047782388647711e-12,27.626254256612032
GO:0019825,1,1.0047782388647711e-12,27.626254256612032
GO:0019838,23,2.3109899493889738e-11,24.490760040682883
GO:0016604,21,2.1100343016160196e-11,24.58173181888861
GO:0009055,18,1.808600829956588e-11,24.735882498715867
GO:0016175,2,2.0095564777295423e-12,26.93310707605209
GO:0004579,3,3.0143347165943134e-12,26.52764196794392
GO:0017134,2,2.0095564777295423e-12,26.93310707605209
GO:0019960,5,5.023891194323856e-12,26.016816344177933
GO:0031994,3,3.0143347165943134e-12,26.52764196794392
GO:0038132,3,3.0143347165943134e-12,26.52764196794392
GO:0070051,1,1.0047782388647711e-12,27.626254256612032
GO:0038024,2,2.0095564777295423e-12,26.93310707605209
GO:0005515,601,6.038717215577275e-10,21.227659322076825
GO:0005138,3,3.0143347165943134e-12,26.52764196794392
GO:0043236,1,1.0047782388647711e-12,27.626254256612032
GO:0031981,221,2.2205599078911444e-10,22.22809155509428
GO:0045121,20,2.0095564777295423e-11,24.630521983058042
GO:0009986,15,1.507167358297157e-11,24.918204055509822
GO:0001846,1,1.0047782388647711e-12,27.626254256612032
GO:0005080,1,1.0047782388647711e-12,27.626254256612032
GO:0097413,1,1.0047782388647711e-12,27.626254256612032
GO:0004656,1,1.0047782388647711e-12,27.626254256612032
GO:0031410,310,3.1148125404807905e-10,21.88968195913284
GO:0000014,4,4.0191129554590846e-12,26.23995989549214
GO:1990599,2,2.0095564777295423e-12,26.93310707605209
GO:0004739,2,2.0095564777295423e-12,26.93310707605209
GO:0005911,25,2.511945597161928e-11,24.407378431743833
GO:0004252,2,2.0095564777295423e-12,26.93310707605209
GO:0000139,2,2.0095564777295423e-12,26.93310707605209
GO:0004897,8,8.038225910918169e-12,25.546812714932198
GO:0004915,4,4.0191129554590846e-12,26.23995989549214
GO:0047101,4,4.0191129554590846e-12,26.23995989549214
GO:0017116,16,1.6076451821836338e-11,24.85366553437225
GO:0098575,1,1.0047782388647711e-12,27.626254256612032
GO:0016020,9321,9.365537964458532e-09,18.486229058550876
GO:0001772,2,2.0095564777295423e-12,26.93310707605209
GO:0005930,6,6.028669433188627e-12,25.834494787383978
GO:0071944,7925,7.962867543003311e-09,18.64847665786655
GO:0030139,6,6.028669433188627e-12,25.834494787383978
GO:0000228,9,9.04300414978294e-12,25.429029679275814
GO:0005814,5,5.023891194323856e-12,26.016816344177933
GO:0070644,3,3.0143347165943134e-12,26.52764196794392
GO:0016328,2,2.0095564777295423e-12,26.93310707605209
GO:0003863,5,5.023891194323856e-12,26.016816344177933
GO:0003691,2,2.0095564777295423e-12,26.93310707605209
GO:0045027,2,2.0095564777295423e-12,26.93310707605209
GO:0051575,1,1.0047782388647711e-12,27.626254256612032
GO:0070888,7,7.033447672053398e-12,25.68034410755672
GO:0098857,41,4.119590779345562e-11,23.912682189907724
GO:0051380,1,1.0047782388647711e-12,27.626254256612032
GO:0016917,14,1.4066895344106796e-11,24.987196926996774
GO:0022851,3,3.0143347165943134e-12,26.52764196794392
GO:0008503,9,9.04300414978294e-12,25.429029679275814
GO:0004890,10,1.0047782388647711e-11,25.323669163617986
GO:0005741,1,1.0047782388647711e-12,27.626254256612032
GO:0005249,55,5.526280313756242e-11,23.61892107137956
GO:0005251,18,1.808600829956588e-11,24.735882498715867
GO:0086008,11,1.1052560627512483e-11,25.228358983813663
GO:1902282,7,7.033447672053398e-12,25.68034410755672
GO:0005882,15,1.507167358297157e-11,24.918204055509822
GO:0004896,35,3.516723836026699e-11,24.070906195122618
GO:0030027,2,2.0095564777295423e-12,26.93310707605209
GO:0030054,1157,1.1625284223665403e-09,20.572668529418355
GO:0036122,1,1.0047782388647711e-12,27.626254256612032
GO:0050431,9,9.04300414978294e-12,25.429029679275814
GO:0003872,1,1.0047782388647711e-12,27.626254256612032
GO:0042584,2,2.0095564777295423e-12,26.93310707605209
GO:0032357,5,5.023891194323856e-12,26.016816344177933
GO:0030983,41,4.119590779345562e-11,23.912682189907724
GO:0032139,4,4.0191129554590846e-12,26.23995989549214
GO:0032142,3,3.0143347165943134e-12,26.52764196794392
GO:0032181,2,2.0095564777295423e-12,26.93310707605209
GO:0005654,64,6.430580728734535e-11,23.46737117325236
GO:0061628,2,2.0095564777295423e-12,26.93310707605209
GO:0005765,3,3.0143347165943134e-12,26.52764196794392
GO:0010008,1,1.0047782388647711e-12,27.626254256612032
GO:0030057,1,1.0047782388647711e-12,27.626254256612032
GO:0030867,1,1.0047782388647711e-12,27.626254256612032
GO:0044194,2,2.0095564777295423e-12,26.93310707605209
GO:0005518,4,4.0191129554590846e-12,26.23995989549214
GO:0000978,18,1.808600829956588e-11,24.735882498715867
GO:0005783,55,5.526280313756242e-11,23.61892107137956
GO:0001055,12,1.2057338866377254e-11,25.14134760682403
GO:0035173,1,1.0047782388647711e-12,27.626254256612032
GO:0017002,4,4.0191129554590846e-12,26.23995989549214
GO:0048185,2,2.0095564777295423e-12,26.93310707605209
GO:0000981,17,1.708123006070111e-11,24.793040912555817
GO:0004879,2,2.0095564777295423e-12,26.93310707605209
GO:0005790,2,2.0095564777295423e-12,26.93310707605209
GO:0008094,150,1.5071673582971567e-10,22.615618962515775
GO:0140658,1,1.0047782388647711e-12,27.626254256612032
GO:0008083,3,3.0143347165943134e-12,26.52764196794392
GO:0005143,4,4.0191129554590846e-12,26.23995989549214
GO:0045519,2,2.0095564777295423e-12,26.93310707605209
GO:0005524,5,5.023891194323856e-12,26.016816344177933
GO:0043531,3,3.0143347165943134e-12,26.52764196794392
GO:0035371,10,1.0047782388647711e-11,25.323669163617986
GO:0044354,1,1.0047782388647711e-12,27.626254256612032
GO:0000104,1,1.0047782388647711e-12,27.626254256612032
GO:0004913,1,1.0047782388647711e-12,27.626254256612032
GO:0004917,1,1.0047782388647711e-12,27.626254256612032
GO:0004912,1,1.0047782388647711e-12,27.626254256612032
GO:0004914,1,1.0047782388647711e-12,27.626254256612032
GO:0003678,45,4.5215020748914703e-11,23.81959176684171
GO:0000146,3,3.0143347165943134e-12,26.52764196794392
GO:0005802,8,8.038225910918169e-12,25.546812714932198
GO:0016323,2,2.0095564777295423e-12,26.93310707605209
GO:0048471,8,8.038225910918169e-12,25.546812714932198
GO:0016887,4,4.0191129554590846e-12,26.23995989549214
GO:0005024,1,1.0047782388647711e-12,27.626254256612032
GO:0015280,3,3.0143347165943134e-12,26.52764196794392
GO:0031092,1,1.0047782388647711e-12,27.626254256612032
GO:0004923,4,4.0191129554590846e-12,26.23995989549214
GO:0004924,5,5.023891194323856e-12,26.016816344177933
GO:0019981,2,2.0095564777295423e-12,26.93310707605209
GO:0032407,2,2.0095564777295423e-12,26.93310707605209
GO:0005657,3,3.0143347165943134e-12,26.52764196794392
GO:0004596,1,1.0047782388647711e-12,27.626254256612032
GO:0016407,7105,7.138949387134199e-09,18.75770021608083
GO:0004971,1,1.0047782388647711e-12,27.626254256612032
GO:0016517,1,1.0047782388647711e-12,27.626254256612032
GO:0042019,3,3.0143347165943134e-12,26.52764196794392
GO:0042020,2,2.0095564777295423e-12,26.93310707605209
GO:0031252,62,6.229625080961581e-11,23.49911987156694
GO:0000287,2,2.0095564777295423e-12,26.93310707605209
GO:0032137,4,4.0191129554590846e-12,26.23995989549214
GO:0032143,2,2.0095564777295423e-12,26.93310707605209
GO:0032405,2,2.0095564777295423e-12,26.93310707605209
GO:0005523,1,1.0047782388647711e-12,27.626254256612032
GO:0000793,30,3.014334716594314e-11,24.22505687494988
GO:0070938,2,2.0095564777295423e-12,26.93310707605209
GO:0016594,1,1.0047782388647711e-12,27.626254256612032
GO:0016934,1,1.0047782388647711e-12,27.626254256612032
GO:0004357,1,1.0047782388647711e-12,27.626254256612032
GO:0005242,7,7.033447672053398e-12,25.68034410755672
GO:0045095,5,5.023891194323856e-12,26.016816344177933
GO:0004660,4,4.0191129554590846e-12,26.23995989549214
GO:0004662,2,2.0095564777295423e-12,26.93310707605209
GO:0031616,2,2.0095564777295423e-12,26.93310707605209
GO:0032541,1,1.0047782388647711e-12,27.626254256612032
GO:0030426,3,3.0143347165943134e-12,26.52764196794392
GO:0005770,7,7.033447672053398e-12,25.68034410755672
GO:0001164,3,3.0143347165943134e-12,26.52764196794392
GO:0042383,3,3.0143347165943134e-12,26.52764196794392
GO:0086007,5,5.023891194323856e-12,26.016816344177933
GO:0086057,1,1.0047782388647711e-12,27.626254256612032
GO:0030515,3,3.0143347165943134e-12,26.52764196794392
GO:0030018,2,2.0095564777295423e-12,26.93310707605209
GO:0017176,2,2.0095564777295423e-12,26.93310707605209
GO:0005576,3,3.0143347165943134e-12,26.52764196794392
GO:0030674,9,9.04300414978294e-12,25.429029679275814
GO:0031982,19687,1.978106918853075e-08,17.738540458191945
GO:0005929,32,3.2152903643672677e-11,24.160518353812307
GO:0003924,2,2.0095564777295423e-12,26.93310707605209
GO:0032154,5,5.023891194323856e-12,26.016816344177933
GO:0005828,2,2.0095564777295423e-12,26.93310707605209
GO:0005049,1,1.0047782388647711e-12,27.626254256612032
GO:0070883,4,4.0191129554590846e-12,26.23995989549214
GO:0004674,35,3.516723836026699e-11,24.070906195122618
GO:0005219,1,1.0047782388647711e-12,27.626254256612032
GO:0004601,11,1.1052560627512483e-11,25.228358983813663
GO:0031720,11,1.1052560627512483e-11,25.228358983813663
GO:0003867,1,1.0047782388647711e-12,27.626254256612032
GO:0008021,2,2.0095564777295423e-12,26.93310707605209
GO:1904680,2,2.0095564777295423e-12,26.93310707605209
GO:0016361,1,1.0047782388647711e-12,27.626254256612032
GO:0004622,1,1.0047782388647711e-12,27.626254256612032
GO:0097443,1,1.0047782388647711e-12,27.626254256612032
GO:0009898,4,4.0191129554590846e-12,26.23995989549214
GO:0086056,1,1.0047782388647711e-12,27.626254256612032
GO:0004920,1,1.0047782388647711e-12,27.626254256612032
GO:0036449,8,8.038225910918169e-12,25.546812714932198
GO:0005840,2,2.0095564777295423e-12,26.93310707605209
GO:0005923,3,3.0143347165943134e-12,26.52764196794392
GO:0045334,2,2.0095564777295423e-12,26.93310707605209
GO:0005863,1,1.0047782388647711e-12,27.626254256612032
GO:0031267,6,6.028669433188627e-12,25.834494787383978
GO:0043565,8466,8.506452570229153e-09,18.582440835531163
GO:0019781,2,2.0095564777295423e-12,26.93310707605209
GO:0016362,1,1.0047782388647711e-12,27.626254256612032
GO:0042734,1,1.0047782388647711e-12,27.626254256612032
GO:0045211,8,8.038225910918169e-12,25.546812714932198
GO:0070382,3,3.0143347165943134e-12,26.52764196794392
GO:0008569,2,2.0095564777295423e-12,26.93310707605209
GO:1990518,1,1.0047782388647711e-12,27.626254256612032
GO:0005776,2,2.0095564777295423e-12,26.93310707605209
GO:0030496,10,1.0047782388647711e-11,25.323669163617986
GO:0004721,2,2.0095564777295423e-12,26.93310707605209
GO:0030424,7,7.033447672053398e-12,25.68034410755672
GO:0050508,1,1.0047782388647711e-12,27.626254256612032
GO:0004970,8,8.038225910918169e-12,25.546812714932198
GO:0000987,52,5.22484684209681e-11,23.675010538030605
GO:0000805,2,2.0095564777295423e-12,26.93310707605209
GO:0000795,3,3.0143347165943134e-12,26.52764196794392
GO:0004843,3,3.0143347165943134e-12,26.52764196794392
GO:0005743,4,4.0191129554590846e-12,26.23995989549214
GO:0097269,2,2.0095564777295423e-12,26.93310707605209
GO:0046934,1,1.0047782388647711e-12,27.626254256612032
GO:0000993,2,2.0095564777295423e-12,26.93310707605209
GO:0046972,3,3.0143347165943134e-12,26.52764196794392
GO:0005225,4,4.0191129554590846e-12,26.23995989549214
GO:0031430,2,2.0095564777295423e-12,26.93310707605209
GO:0001726,11,1.1052560627512483e-11,25.228358983813663
GO:0030175,1,1.0047782388647711e-12,27.626254256612032
GO:0098821,1,1.0047782388647711e-12,27.626254256612032
GO:0010494,1,1.0047782388647711e-12,27.626254256612032
GO:0008527,8,8.038225910918169e-12,25.546812714932198
GO:0033041,4,4.0191129554590846e-12,26.23995989549214
GO:0004407,4,4.0191129554590846e-12,26.23995989549214
GO:0008324,31750,3.190170908395648e-08,17.260606252291193
GO:0033040,2,2.0095564777295423e-12,26.93310707605209
GO:0002094,1,1.0047782388647711e-12,27.626254256612032
GO:0045547,1,1.0047782388647711e-12,27.626254256612032
GO:0032437,2,2.0095564777295423e-12,26.93310707605209
GO:1990752,20,2.0095564777295423e-11,24.630521983058042
GO:1905721,1,1.0047782388647711e-12,27.626254256612032
GO:0005253,98,9.846826740874758e-11,23.041286777941462
GO:0032432,14,1.4066895344106796e-11,24.987196926996774
GO:0097649,1,1.0047782388647711e-12,27.626254256612032
GO:0030141,9,9.04300414978294e-12,25.429029679275814
GO:0099617,2,2.0095564777295423e-12,26.93310707605209
GO:0044291,2,2.0095564777295423e-12,26.93310707605209
GO:0036064,4,4.0191129554590846e-12,26.23995989549214
GO:0043296,4,4.0191129554590846e-12,26.23995989549214
GO:0031021,2,2.0095564777295423e-12,26.93310707605209
GO:0097546,2,2.0095564777295423e-12,26.93310707605209
GO:0005793,1,1.0047782388647711e-12,27.626254256612032
GO:0061630,10,1.0047782388647711e-11,25.323669163617986
GO:0046976,1,1.0047782388647711e-12,27.626254256612032
GO:0008408,4,4.0191129554590846e-12,26.23995989549214
GO:0004520,15,1.507167358297157e-11,24.918204055509822
GO:0008375,5,5.023891194323856e-12,26.016816344177933
GO:0050509,1,1.0047782388647711e-12,27.626254256612032
GO:0004659,25,2.511945597161928e-11,24.407378431743833
GO:0015171,25,2.511945597161928e-11,24.407378431743833
GO:0031514,1,1.0047782388647711e-12,27.626254256612032
GO:0004485,9,9.04300414978294e-12,25.429029679275814
GO:0090560,2,2.0095564777295423e-12,26.93310707605209
GO:1990462,1,1.0047782388647711e-12,27.626254256612032
GO:0031674,3,3.0143347165943134e-12,26.52764196794392
GO:0005615,1,1.0047782388647711e-12,27.626254256612032
GO:0003713,3,3.0143347165943134e-12,26.52764196794392
GO:0140684,1,1.0047782388647711e-12,27.626254256612032
GO:0036057,1,1.0047782388647711e-12,27.626254256612032
GO:0008135,64,6.430580728734535e-11,23.46737117325236
GO:0005250,5,5.023891194323856e-12,26.016816344177933
GO:0010485,25,2.511945597161928e-11,24.407378431743833
GO:0043998,1,1.0047782388647711e-12,27.626254256612032
GO:0019948,3,3.0143347165943134e-12,26.52764196794392
GO:0090734,4,4.0191129554590846e-12,26.23995989549214
GO:0001891,2,2.0095564777295423e-12,26.93310707605209
GO:0071953,1,1.0047782388647711e-12,27.626254256612032
GO:0035197,4,4.0191129554590846e-12,26.23995989549214
GO:0061832,1,1.0047782388647711e-12,27.626254256612032
GO:0055037,2,2.0095564777295423e-12,26.93310707605209
GO:0042800,1,1.0047782388647711e-12,27.626254256612032
GO:0005883,1,1.0047782388647711e-12,27.626254256612032
GO:0030673,1,1.0047782388647711e-12,27.626254256612032
GO:0005777,1,1.0047782388647711e-12,27.626254256612032
GO:0001003,1,1.0047782388647711e-12,27.626254256612032
GO:0001002,1,1.0047782388647711e-12,27.626254256612032
GO:0032590,3,3.0143347165943134e-12,26.52764196794392
GO:0030425,10,1.0047782388647711e-11,25.323669163617986
GO:0032809,1,1.0047782388647711e-12,27.626254256612032
GO:0043005,148,1.4870717935198614e-10,22.629041982847916
GO:0043197,2,2.0095564777295423e-12,26.93310707605209
GO:0044297,10,1.0047782388647711e-11,25.323669163617986
GO:0044307,2,2.0095564777295423e-12,26.93310707605209
GO:0097060,10,1.0047782388647711e-11,25.323669163617986
GO:0098793,6,6.028669433188627e-12,25.834494787383978
GO:0098794,11,1.1052560627512483e-11,25.228358983813663
GO:0098978,1,1.0047782388647711e-12,27.626254256612032
GO:0003721,4,4.0191129554590846e-12,26.23995989549214
GO:0003964,48,4.8229355465509015e-11,23.75505324570414
GO:0003968,1,1.0047782388647711e-12,27.626254256612032
GO:0098680,1,1.0047782388647711e-12,27.626254256612032
GO:0002177,3,3.0143347165943134e-12,26.52764196794392
GO:0001054,9,9.04300414978294e-12,25.429029679275814
GO:0001056,10,1.0047782388647711e-11,25.323669163617986
GO:0052717,1,1.0047782388647711e-12,27.626254256612032
GO:0000049,3,3.0143347165943134e-12,26.52764196794392
GO:0003899,33,3.315768188253745e-11,24.129746695145553
GO:0019776,1,1.0047782388647711e-12,27.626254256612032
GO:0001097,1,1.0047782388647711e-12,27.626254256612032
GO:0031491,21,2.1100343016160196e-11,24.58173181888861
GO:0015275,2,2.0095564777295423e-12,26.93310707605209
GO:0004088,2,2.0095564777295423e-12,26.93310707605209
